ebook_id,title,authors,source,line_number,text
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,1,The Project Gutenberg eBook of King Arthur and the Knights of the Round Table
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,2,
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,3,This eBook is for the use of anyone anywhere in the United States and
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,4,most other parts of the world at no cost and with almost no restrictions
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,5,"whatsoever. You may copy it, give it away or re-use it under the terms"
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,6,of the Project Gutenberg License included with this eBook or online
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,7,"at www.gutenberg.org. If you are not located in the United States,"
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,8,you will have to check the laws of the country where you are located
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,9,before using this eBook.
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,10,
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,11,Title: King Arthur and the Knights of the Round Table
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,12,
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,13,Author: Sir Thomas Malory
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,14,
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,15,Editor: Rupert Sargent Holland
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,16,
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,17,
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,18,
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,19,"Release date: June 18, 2011 [eBook #36462]"
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,20,"                Most recently updated: January 7, 2021"
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,21,
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,22,Language: English
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,23,
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,24,Other information and formats: www.gutenberg.org/ebooks/36462
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,25,
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,26,"Credits: Produced by Peter Vachuska, Dave Morgan, Mary Meehan and"
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,27,        the Online Distributed Proofreading Team at
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,28,        https://www.pgdp.net
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,29,
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,30,
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,31,*** START OF THE PROJECT GUTENBERG EBOOK KING ARTHUR AND THE KNIGHTS OF THE ROUND TABLE ***
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,32,
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,33,</pre>
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,34,
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,35,
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,36,
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,37,"Produced by Peter Vachuska, Dave Morgan, Mary Meehan and"
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,38,the Online Distributed Proofreading Team at
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,39,https://www.pgdp.net
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,40,
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,41,
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,42,
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,43,
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,44,
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,45,
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,46,
36462,King Arthur and the Knights of the Round Table,"Malory, Thomas, Sir",https://www.gutenberg.org/ebooks/36462.txt.utf-8,47,
